"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11320","도봉구","10800","도봉동","1","대지","0030","0001","한신","20260221","62300","84.94","0.000000","10","","","1995","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0393","0009","정한주택","20260220","3800","36.51","31.000000","-1","","","1992","연립다세대","직거래",""
"2026","11320","도봉구","10600","방학동","1","대지","0720","0001","대상타운현대아파트","20260220","64500","60","0.000000","2","","","2001","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0804","0000","대우","20260220","60000","59.86","0.000000","19","","","1995","아파트","중개거래","서울 관악구, 서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0573","0025","진주15","20260219","13000","41.55","33.000000","2","","","1987","연립다세대","직거래",""
"2026","11320","도봉구","10700","창동","1","대지","0316","0000","창동주공2단지","20260214","38500","36.16","0.000000","11","","","1990","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0628","0017","승윤노블리안시티101동","20260214","24100","57.76","67.298300","6","","","2016","오피스텔","직거래",""
"2026","11320","도봉구","10600","방학동","1","대지","0720","0001","대상타운현대아파트","20260213","65000","60","0.000000","1","","","2001","아파트","중개거래","서울 노원구, 서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0296","0009","애스테이2차","20260213","21300","34.94","13.000000","5","","","2022","연립다세대","직거래",""
"2026","11320","도봉구","10700","창동","1","대지","0623","0093","청기와타운103","20260213","15000","43.81","22.000000","4","","","1996","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0826","0000","북한산한신휴플러스","20260212","79000","84.949","0.000000","6","","","2007","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0081","0013","플렉스빌","20260212","48000","58.69","34.000000","5","","","2022","연립다세대","직거래",""
"2026","11320","도봉구","10700","창동","1","대지","0305","0000","창동주공1단지","20260212","46500","44.89","0.000000","11","","","1990","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0305","0000","창동주공1단지","20260212","54000","49.94","0.000000","3","","","1990","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0628","0032","그랑빌삼호","20260212","26000","52.52","29.000000","3","","","2014","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0720","0001","대상타운현대아파트","20260212","80500","84.78","0.000000","3","","","2001","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0600","0007","삼익하이츠빌라(600-7)","20260212","13000","43.56","20.000000","1","","","1993","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0021","0016","삼원빌라","20260212","12500","45.36","26.000000","3","","","1993","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0555","0000","서울가든","20260212","40000","75.33","0.000000","10","","","1987","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0027","0000","주공19단지(창동리버타운)","20260212","109500","90.94","0.000000","4","","","1988","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0296","0009","애스테이2차","20260211","21350","34.94","14.000000","7","","","2022","연립다세대","직거래",""
"2026","11320","도봉구","10700","창동","1","대지","0804","0000","대우","20260211","70000","84.88","0.000000","7","","","1995","아파트","중개거래","서울 노원구, 서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0814","0000","대우그린","20260211","78900","84.93","0.000000","15","","","2000","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0285","0005","동익미라벨","20260211","32200","65.42","0.000000","13","","","1987","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0386","0063","더스테이원","20260211","21000","28.04","22.000000","2","","","2023","연립다세대","직거래",""
"2026","11320","도봉구","10800","도봉동","1","대지","0559","0021","동훈파크빌","20260211","20000","59.01","23.000000","3","","","2002","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0347","0000","창동주공3단지(해등마을)","20260211","52000","41.3","0.000000","7","","","1990","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0732","0000","북한산코오롱하늘채","20260211","74800","84.98","0.000000","9","","","2014","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0734","0000","청구아파트","20260211","52000","84.97","0.000000","2","","","1994","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0815","0000","창동2차현대","20260211","86000","84.504","0.000000","21","","","2001","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0655","0000","래미안도봉","20260211","54000","59.25","0.000000","1","","","2005","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0062","0043","도봉 투웨니퍼스트 2단지","20260210","18500","29.66","38.510000","10","","","null","오피스텔","중개거래","서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0064","0001","우정빌라","20260210","25800","63.09","26.000000","3","","","2002","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0296","0009","애스테이2차","20260210","25080","39.18","23.000000","7","","","2022","연립다세대","직거래",""
"2026","11320","도봉구","10500","쌍문동","1","대지","0380","0018","은행빌라A동","20260210","23500","62.92","35.000000","3","","","2008","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0027","0000","주공19단지(창동리버타운)","20260210","80500","59.39","0.000000","3","","","1988","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0807","0000","쌍용","20260210","75000","59.88","0.000000","3","","","1997","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10600","방학동","1","대지","0271","0001","신동아아파트1","20260209","37500","53.16","0.000000","6","","","1986","아파트","중개거래","서울 노원구, 서울 도봉구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0726","0000","신일라이프","20260209","46500","81.68","0.000000","11","","","2002","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0291","0024","동일스위트빌","20260209","23000","29.96","18.000000","6","","","2017","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0062","0003","도봉 투웨니퍼스트 1단지","20260209","16800","29.66","38.770000","3","","","2017","오피스텔","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0665","0026","금성파크B동","20260209","37900","73.9","0.000000","3","","","2003","아파트","중개거래","서울 강북구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0460","0044","가든빌라","20260209","12000","36.72","30.000000","1","","","1991","연립다세대","중개거래","서울 강북구"
"2026","11320","도봉구","10500","쌍문동","1","대지","0315","0203","리치빌","20260209","27000","42.75","25.000000","2","","","2022","연립다세대","직거래",""
"2026","11320","도봉구","10700","창동","1","대지","0623","0027","해온아트빌","20260209","40000","49.69","23.000000","6","","","2023","연립다세대","중개거래","서울 성북구"
"2026","11320","도봉구","10800","도봉동","1","대지","0573","0014","진주4","20260209","9000","41.46","31.000000","-1","","","1987","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0030","0001","한신","20260209","56500","84.94","0.000000","2","","","1995","아파트","중개거래","서울 도봉구"
"2026","11320","도봉구","10800","도봉동","1","대지","0558","0016","우성빌라","20260209","9800","81.43","35.000000","-1","","","1992","연립다세대","직거래",""
"2026","11320","도봉구","10500","쌍문동","1","대지","0137","0115","동원빌라","20260208","13900","45.59","27.000000","1","","","1990","연립다세대","중개거래","서울 도봉구"
"2026","11320","도봉구","10700","창동","1","대지","0811","0000","대동","20260208","57000","79.68","0.000000","14","","","1999","아파트","중개거래","서울 도봉구"
