"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11680","강남구","10800","논현동","1","대지","0274","0000","경남논현","20260223","184500","84.89","0.000000","3","","","1996","아파트","중개거래","서울 서초구"
"2026","11680","강남구","10600","대치동","1","대지","0943","0024","신안메트로칸","20260223","25000","30.11","43.480000","9","","","2004","오피스텔","직거래",""
"2026","11680","강남구","11500","수서동","1","대지","0746","0000","까치마을","20260223","168000","39.6","0.000000","7","","","1993","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0824","0025","대우디오빌플러스","20260222","30900","34.41","0.000000","13","","","2004","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10300","개포동","1","대지","1231","0008","아무르하우스","20260220","74000","48.14","29.000000","5","","","2015","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10600","대치동","1","대지","0943","0024","신안메트로칸","20260220","28000","30.11","43.480000","5","","","2004","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0735","0017","역삼 푸르지오 시티","20260219","38900","31.94","31.940000","14","","","2016","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","11200","자곡동","1","대지","0651","0000","강남유탑유블레스","20260216","17000","25.697","32.572300","8","","","2014","오피스텔","직거래",""
"2026","11680","강남구","10300","개포동","1","대지","1284","0000","개포자이프레지던스","20260214","267500","49.952","0.000000","10","","","2023","아파트","중개거래","서울 강남구, 서울 송파구"
"2026","11680","강남구","10800","논현동","1","대지","0205","0002","논현동한화꿈에그린","20260214","127500","67.671","0.000000","4","","","2005","아파트","중개거래","서울 강남구, 서울 용산구"
"2026","11680","강남구","10300","개포동","1","대지","0660","0001","디에이치 퍼스티어 아이파크","20260214","393500","84.995","0.000000","4","입주권","","0","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0824","0025","대우디오빌플러스","20260213","43000","43.99","0.000000","11","","","2004","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0722","0000","경남아너스빌","20260213","150000","84.688","0.000000","13","","","2002","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10800","논현동","1","대지","0150","0008","엠마오빌","20260213","64000","73.81","37.000000","3","","","2002","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10600","대치동","1","대지","0316","0000","은마","20260213","364000","76.79","0.000000","7","","","1979","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10600","대치동","1","대지","0910","0011","스톤빌리지대치3차","20260213","104500","54.3","31.000000","6","","","2018","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0769","0001","삼환 아르누보","20260213","15000","26.38","36.000000","7","","","2003","오피스텔","직거래",""
"2026","11680","강남구","10400","청담동","1","대지","0134","0018","청담 르엘","20260212","670000","84.746","0.000000","16","입주권","","0","아파트","중개거래","서울 강남구"
"2026","11680","강남구","11400","일원동","1","대지","0652","0001","한차임","20260212","80000","27.53","23.000000","4","","","2020","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10700","신사동","1","대지","0551","0005","하야트빌","20260212","94000","70.95","0.000000","2","","","2005","아파트","중개거래","서울 강남구, 서울 서초구"
"2026","11680","강남구","10100","역삼동","1","대지","0719","0024","역삼역센트럴푸르지오시티","20260212","46000","32.42","51.734700","18","","","2019","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","11200","자곡동","1","대지","0646","0000","엘에이치강남8단지","20260211","144000","59.6","82.000000","4","","","2013","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10300","개포동","1","대지","1164","0012","새롬(1164-12)","20260211","100000","73.5","0.000000","2","","","2000","아파트","중개거래","경기 안양시 만안구, 경기 용인시 처인구"
"2026","11680","강남구","10100","역삼동","1","대지","0832","0033","성우스타우스오피스텔","20260211","22000","32.03","41.120000","6","","","2004","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0793","0029","베스트빌","20260211","47000","45.22","32.000000","5","","","2012","연립다세대","중개거래","서울 성북구"
"2026","11680","강남구","10100","역삼동","1","대지","0720","0025","대우디오빌","20260211","30000","30.03","0.000000","15","","","2002","아파트","중개거래","서울 강남구, 서울 서초구"
"2026","11680","강남구","11200","자곡동","1","대지","0655","0000","강남 푸르지오시티 2차(PRUGIO CITYⅡ)","20260211","14300","19.971","26.450000","2","","20260211","2014","오피스텔","중개거래","충북 진천군"
"2026","11680","강남구","10600","대치동","1","대지","0928","0005","공간아트빌","20260211","65000","56.69","22.000000","4","","","2000","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0825","0024","강남역 효성해링턴 타워 더퍼스트","20260211","26000","25.73","34.029000","8","","","2014","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10400","청담동","1","대지","0005","0000","경원오피스텔","20260211","27400","22.77","31.660000","13","","","1991","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","11200","자곡동","1","대지","0655","0000","강남 푸르지오시티 2차(PRUGIO CITYⅡ)","20260211","14300","19.971","26.450000","2","","","2014","오피스텔","중개거래","충북 진천군"
"2026","11680","강남구","11800","도곡동","1","대지","0550","0001","파크힐","20260210","75500","47.6","0.000000","2","","","2005","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10800","논현동","1","대지","0150","0008","엠마오빌","20260210","82000","103.48","52.000000","5","","","2002","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","11500","수서동","1","대지","0736","0000","신동아","20260210","209000","49.96","0.000000","2","","","1992","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0832","0007","황화빌딩","20260210","21300","27.9","41.060000","11","","","1991","오피스텔","중개거래","서울 강남구, 서울 도봉구"
"2026","11680","강남구","10300","개포동","1","대지","1171","0006","뉴아트빌라","20260209","55000","42.96","18.000000","2","","","2000","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10300","개포동","1","대지","1281","0000","디에이치아너힐즈","20260209","337000","59.747","0.000000","21","","","2019","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0824","0025","대우디오빌플러스","20260209","29000","38.96","48.490000","9","","","2004","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0735","0017","역삼 푸르지오 시티","20260209","38000","31.94","31.940000","12","","","2016","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","11200","자곡동","1","대지","0611","0000","래미안강남힐즈","20260209","205000","91.96","0.000000","3","","","2014","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0045","0009","봉은사로461주상복합(주식회사프레스티지)","20260209","58200","31.07","6.000000","12","","","2017","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10800","논현동","1","대지","0058","0002","마일스디오빌","20260209","35000","36.29","0.000000","3","","","2004","아파트","중개거래","서울 강남구, 서울 마포구"
"2026","11680","강남구","10100","역삼동","1","대지","0837","0018","강남역 서희스타힐스 오피스텔","20260209","19800","25.36","38.780000","10","","","2012","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0085","0005","현대하이츠빌라","20260209","205000","84.98","98.000000","1","","","1988","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10800","논현동","1","대지","0096","0000","(96)","20260209","20000","22.05","22.050000","4","","","1987","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0158","0004","삼성역 두산위브센티움","20260209","28950","27.06","36.090000","7","","","2003","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","11500","수서동","1","대지","0746","0000","까치마을","20260208","137000","34.44","0.000000","1","","","1993","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10300","개포동","1","대지","1180","0009","운영빌라","20260208","58500","44.28","21.000000","1","","","1995","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0719","0024","역삼역센트럴푸르지오시티","20260207","20400","17.573","28.042300","6","","","2019","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0034","0012","힐스테이7","20260207","30000","21.87","13.000000","2","","","2016","연립다세대","중개거래","서울 서초구"
"2026","11680","강남구","10300","개포동","1","대지","1262","0007","동삼빌리지","20260207","120000","81.57","53.000000","2","","","1991","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","11500","수서동","1","대지","0716","0000","사이룩스","20260207","25000","30.25","40.490000","15","","","2003","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10300","개포동","1","대지","1171","0007","수창스마트빌","20260207","31000","22.86","14.000000","4","","","2015","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0603","0007","신논현 마에스트로","20260207","20500","21.27","31.620000","12","","","2013","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10600","대치동","1","대지","0890","0059","선릉역 롯데골드로즈2","20260207","32800","39","54.460000","14","","","2004","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0016","0002","삼성동힐스테이트 1단지","20260207","158500","31.402","0.000000","6","","","2008","아파트","중개거래","서울 강남구, 서울 송파구"
"2026","11680","강남구","11100","세곡동","1","대지","0533","0000","세곡푸르지오","20260207","190000","84.84","0.000000","11","","","2012","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10100","역삼동","1","대지","0664","0028","케아하우스","20260207","29200","23.48","15.000000","2","","","2017","연립다세대","중개거래","서울 강남구"
"2026","11680","강남구","11200","자곡동","1","대지","0655","0000","강남 푸르지오시티 2차(PRUGIO CITYⅡ)","20260207","15000","21.872","28.968000","9","","","2014","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0050","0000","현대힐스테이트2단지","20260207","199000","40.763","0.000000","2","","","2008","아파트","중개거래","서울 강남구"
"2026","11680","강남구","10400","청담동","1","대지","0005","0000","경원오피스텔","20260206","28000","22.77","31.660000","14","","","1991","오피스텔","중개거래","서울 강남구"
"2026","11680","강남구","10500","삼성동","1","대지","0007","0003","래미안삼성2차","20260206","386000","119.29","0.000000","9","","","2007","아파트","중개거래","서울 강남구"
"2026","11680","강남구","11500","수서동","1","대지","0746","0000","까치마을","20260206","154000","34.44","0.000000","13","","","1993","아파트","중개거래","서울 강남구"
