"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11440","마포구","12100","동교동","1","대지","0165","0008","LG팰리스빌딩","20260223","23800","43.58","54.810000","9","","","1999","오피스텔","중개거래","서울 마포구"
"2026","11440","마포구","12500","성산동","1","대지","0590","0005","상암월드시티","20260221","15000","19.81","28.290000","14","","","2014","오피스텔","중개거래","서울 마포구, 서울 서대문구"
"2026","11440","마포구","12700","상암동","1","대지","1658","0000","상암월드컵파크5단지","20260220","153000","84.75","0.000000","15","","","2005","아파트","중개거래","서울 동작구, 서울 마포구"
"2026","11440","마포구","12100","동교동","1","대지","0165","0008","LG팰리스빌딩","20260220","23000","43.58","54.810000","13","","","1999","오피스텔","중개거래","서울 마포구"
"2026","11440","마포구","12200","합정동","1","대지","0470","0000","일신건영휴먼빌아파트","20260220","105000","84.76","0.000000","9","","","2005","아파트","직거래",""
"2026","11440","마포구","11200","현석동","1","대지","0001","0009","뤼시올(D,E동)","20260220","55500","27.96","23.000000","3","","","2025","연립다세대","직거래",""
"2026","11440","마포구","12400","연남동","1","대지","0573","0000","코오롱","20260219","125000","84.936","0.000000","12","","","2003","아파트","중개거래","서울 마포구"
"2026","11440","마포구","10200","공덕동","1","대지","0188","0108","마포현대","20260215","118000","84.87","0.000000","12","","","1988","아파트","직거래",""
"2026","11440","마포구","10300","신공덕동","1","대지","0001","0048","갑을명가시티2","20260214","12550","16.76","25.620000","16","","","null","오피스텔","중개거래","서울 마포구"
"2026","11440","마포구","12300","망원동","1","대지","0384","0002","진명아트빌라","20260214","40000","57.78","25.000000","1","","","1993","연립다세대","직거래",""
"2026","11440","마포구","12000","서교동","1","대지","0394","0025","동양한강트레벨","20260214","24000","29.09","39.580000","13","","","2004","오피스텔","중개거래","서울 마포구"
"2026","11440","마포구","12300","망원동","1","대지","0420","0000","성원1","20260214","65000","59.4","0.000000","3","","","1998","아파트","중개거래","서울 마포구"
