"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11350","노원구","10500","상계동","1","대지","1285","0000","동아불암","20260224","57700","84.9","0.000000","1","","","1999","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10200","월계동","1","대지","0944","0000","풍림아이원","20260223","105000","84.303","0.000000","14","","","2005","아파트","직거래",""
"2026","11350","노원구","10200","월계동","1","대지","0085","0007","서울원 아이파크","20260223","163941","105.541","0.000000","31","분양권","","0","아파트","직거래",""
"2026","11350","노원구","10200","월계동","1","대지","0085","0007","서울원 아이파크","20260221","140699","84.317","0.000000","35","분양권","","0","아파트","직거래",""
"2026","11350","노원구","10200","월계동","1","대지","0085","0007","서울원 아이파크","20260221","148400","84.661","0.000000","38","분양권","","0","아파트","중개거래","서울 노원구, 서울 중랑구"
"2026","11350","노원구","10300","공릉동","","","","","","20260221","63000","131.1","120.000000","","","","1978","단독다가구","중개거래","서울 노원구"
"2026","11350","노원구","10400","하계동","1","대지","0354","0000","학여울청구","20260221","93000","113.51","0.000000","6","","","1999","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10200","월계동","1","대지","0926","0000","한일1","20260221","80500","84.942","0.000000","18","","","1999","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10500","상계동","1","대지","0757","0000","한양","20260220","77000","87.49","0.000000","10","","","1988","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10600","중계동","1","대지","0359","0001","주공5","20260220","114000","84.79","0.000000","4","","","1992","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10600","중계동","1","대지","0512","0000","중계무지개","20260219","59900","49.54","0.000000","2","","","1991","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10500","상계동","1","대지","0720","0000","상계주공6(고층)","20260219","74700","58.01","0.000000","7","","","1988","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10200","월계동","1","대지","0085","0007","서울원 아이파크","20260215","179553","91.77","0.000000","21","분양권","","0","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10300","공릉동","1","대지","0756","0000","신성미소지움아파트","20260214","66800","84.996","0.000000","13","","","2004","아파트","중개거래","서울 노원구, 서울 중랑구"
"2026","11350","노원구","10500","상계동","1","대지","1063","0000","상계현대3차","20260214","62500","84.96","0.000000","2","","","1999","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10500","상계동","1","대지","0666","0000","상계주공10(저층)","20260214","44000","47.34","0.000000","1","","","1988","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10600","중계동","1","대지","0359","0001","주공5","20260214","76500","58.46","0.000000","10","","","1992","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10600","중계동","1","대지","0512","0000","중계무지개","20260214","57000","49.54","0.000000","3","","","1991","아파트","중개거래","서울 노원구"
"2026","11350","노원구","10300","공릉동","1","대지","0109","0000","비선아파트","20260214","46500","48.93","0.000000","7","","","1999","아파트","중개거래","서울 노원구"
