"접수연도","자치구코드","자치구명","법정동코드","법정동명","지번구분","지번구분명","본번","부번","건물명","계약일","물건금액(만원)","건물면적(㎡)","토지면적(㎡)","층","권리구분","취소일","건축년도","건물용도","신고구분","신고한 개업공인중개사 시군구명"
"2026","11200","성동구","11300","옥수동","1","대지","0012","0000","동인샤인빌","20260223","119000","57.16","0.000000","9","","","2003","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0346","0000","행당한진타운","20260219","188000","84.71","0.000000","18","","","2000","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11000","금호동2가","1","대지","0001","0000","신금호파크자이","20260219","221000","59.98","0.000000","7","","","2016","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10400","도선동","1","대지","0069","0000","삼성쉐르빌","20260218","120000","84.93","0.000000","18","","","2006","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11000","금호동2가","1","대지","0001","0000","신금호파크자이","20260216","205000","59.98","0.000000","11","","","2016","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0321","0092","(321-92)","20260214","16000","19.4","12.000000","5","","","2012","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","11200","금호동4가","1","대지","1078","0001","(1078-1)","20260213","59000","48.93","32.000000","-1","","","1986","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10500","마장동","1","대지","0784","0000","세림","20260213","92000","72.84","0.000000","12","","","1986","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0346","0000","행당한진타운","20260213","190500","84.71","0.000000","12","","","2000","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11300","옥수동","1","대지","0561","0000","래미안 옥수 리버젠","20260213","314500","134.13","0.000000","7","","","2012","아파트","직거래",""
"2026","11200","성동구","11500","성수동2가","1","대지","0835","0000","롯데캐슬파크","20260213","210000","81.567","0.000000","17","","","2003","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0745","0000","강변청구3","20260212","330000","84.6","0.000000","9","","","1995","아파트","중개거래","서울 성동구"
"2026","11200","성동구","12200","용답동","1","대지","0232","0001","신창비바패밀리","20260212","32200","60.82","83.850000","12","","","2006","오피스텔","중개거래","서울 동대문구, 서울 성동구"
"2026","11200","성동구","10800","응봉동","1","대지","0100","0000","대림(1차)","20260210","210000","75.51","0.000000","6","","","1986","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0375","0000","행당두산위브","20260210","169500","59.99","0.000000","7","","","2009","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10600","사근동","1","대지","0223","0021","왕십리씨티빌","20260210","60000","29.27","22.000000","4","","","2022","연립다세대","중개거래","서울 용산구"
"2026","11200","성동구","12200","용답동","1","대지","0015","0000","중앙하이츠","20260210","111000","84.545","0.000000","9","","","1995","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","0966","0019","왕십리지음재","20260209","19000","13.72","0.000000","10","","","2020","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0301","0086","(301-86)","20260209","16750","18.02","11.000000","4","","","2012","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","0974","0016","(974-16)","20260209","35500","49.84","34.000000","3","","","1986","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","11400","성수동1가","1","대지","0013","0157","뚝섬현대","20260209","154000","84.22","0.000000","10","","","1992","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","1052","0000","금호베스트빌","20260209","140000","84.97","0.000000","17","","","2001","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0277","0037","성원상떼뷰오피스텔","20260208","15800","24.84","32.950000","9","","","2003","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0349","0000","서울숲 한신 더 휴","20260207","188000","84.95","0.000000","15","","","2003","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10800","응봉동","1","대지","0097","0000","대림(2차)","20260207","146500","59.91","0.000000","8","","","1989","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0375","0000","행당두산위브","20260207","190000","84.99","0.000000","11","","","2009","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","1066","0000","텐즈힐(1단지)","20260207","220000","84.88","0.000000","8","","","2015","아파트","중개거래","서울 동대문구, 서울 성동구"
"2026","11200","성동구","12200","용답동","1","대지","0028","0009","물댄동산","20260207","55000","19.88","14.000000","2","","","2023","연립다세대","직거래",""
"2026","11200","성동구","10200","하왕십리동","1","대지","0898","0002","리오파크 오피스텔","20260207","14700","21.56","29.200000","7","","","2011","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0380","0000","서울숲리버뷰자이","20260206","262000","84.98","0.000000","27","","","2018","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10400","도선동","1","대지","0329","0001","에코하우스(1동)","20260206","15400","12.46","6.000000","3","","","2011","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10800","응봉동","1","대지","0264","0078","노블레스빌라5동","20260206","44500","54.49","19.000000","4","","","2004","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","1058","0000","극동미라주","20260206","133000","59.4","0.000000","21","","","2001","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11400","성수동1가","1","대지","0714","0000","금호","20260205","209000","84.98","0.000000","14","","","2003","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10700","행당동","1","대지","0346","0000","행당한진타운","20260205","170000","59.96","0.000000","21","","","2000","아파트","중개거래","서울 성동구"
"2026","11200","성동구","12200","용답동","1","대지","0236","0005","삼호오피스텔","20260205","9800","26.95","35.310000","5","","","1991","오피스텔","중개거래","서울 도봉구, 서울 성동구"
"2026","11200","성동구","10800","응봉동","1","대지","0275","0000","신동아","20260205","152700","84.81","0.000000","15","","","1996","아파트","중개거래","서울 성동구"
"2026","11200","성동구","12200","용답동","1","대지","0236","0005","삼호오피스텔","20260205","9800","26.95","35.310000","5","","20260219","1991","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0277","0101","성수동램킨중흥S클래스오피스텔","20260205","15000","18.33","25.060800","2","","","2013","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0299","0170","파크빌","20260204","19800","20.64","11.000000","5","","","2012","연립다세대","중개거래","서울 성동구, 서울 용산구"
"2026","11200","성동구","10700","행당동","1","대지","0346","0000","행당한진타운","20260204","123000","84.71","0.000000","16","","","2000","아파트","직거래",""
"2026","11200","성동구","10400","도선동","1","대지","0002","0000","왕십리역 요진 와이하우스","20260204","35500","29.28","43.760000","11","","","2022","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","10400","도선동","1","대지","0329","0012","에코하우스(2동)","20260203","15900","12.24","6.000000","3","","","2011","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","1070","0000","센트라스","20260203","123500","40.94","0.000000","27","","","2016","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10400","도선동","1","대지","0256","0005","성동 트레비스타 오피스텔","20260203","41000","28.41","43.110000","11","","","2022","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","10200","하왕십리동","1","대지","1066","0000","텐즈힐(1단지)","20260203","192500","72.52","0.000000","7","","","2015","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10500","마장동","1","대지","0825","0000","대성유니드","20260202","130000","84.71","0.000000","22","","","2004","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11400","성수동1가","1","대지","0033","0002","현대그린","20260202","149000","56.97","0.000000","2","","","1994","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11300","옥수동","1","대지","0428","0000","극동","20260202","249900","148.23","0.000000","11","","","1986","아파트","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0299","0080","오페라하우스","20260202","59000","44.28","27.000000","2","","","2015","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","10800","응봉동","1","대지","0228","0015","로얄펠리스","20260202","80000","70.78","44.000000","3","","","2009","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0277","0037","성원상떼뷰오피스텔","20260202","16800","28.08","37.250000","8","","","2003","오피스텔","중개거래","서울 성동구"
"2026","11200","성동구","11500","성수동2가","1","대지","0833","0000","신성미소지움","20260202","135000","84.01","0.000000","2","","","2001","아파트","중개거래","서울 성동구"
"2026","11200","성동구","10500","마장동","1","대지","0399","0059","시온아트빌","20260201","53000","73.43","37.000000","1","","","2003","연립다세대","중개거래","서울 성동구"
"2026","11200","성동구","12200","용답동","1","대지","0013","0023","(13-23)","20260201","54400","34.36","21.000000","3","","","2012","연립다세대","중개거래","서울 성동구"
